yourlist:M20180328A7434721E10EE6586998A056CCD0537E55CF7ER	Entry
51339	B7Z673
51339	Q9NYF0
55657	Q9BU19
55654	C9J4H2
55654	O75204
55654	Q9H6I0
32278	M9NEF2
32278	M9PHQ2
32278	M9PJM2
32278	Q59E49
32278	Q8IR69
32278	Q9VYF3
51335	Q9NPE2
51334	Q569H4
55658	A0A024R206
55658	A8K0Q1
55658	Q9BV68
32274	Q9V3P3
32273	A8JUV0
32272	Q9VYF8
32272	X2JES4
32271	Q7Z2C5
51332	Q9NRC6
837747	A0A178WJ43
837747	A0A1P8AUH1
837747	C0SUU8
2542753	O14066
2542754	O94448
2542755	O94452
2542756	O13735
2542757	Q09683
56305	P53811
56305	Q8JZZ5
2542759	O14303
56307	O08663
56307	Q58E65
56306	Q8C8M1
56300	Q9NZH8
56302	A0A0A6YY98
56302	Q9NQA5
817183	A0A1P8AZE0
817183	Q8RWV3
25391	A0A0G2K9N9
25391	P18596
25393	G3V8G4
25393	P55068
817187	O48713
25398	O70368
25398	P54282
25399	Q8CFG7
25399	Q8VHS9
25399	Q9ERS3
57658	A0A024RAZ1
57658	Q9P1Z2
57659	B3KVD4
57659	Q9P1Z0
827083	A0A1P8B4S3
827083	B9DG35
827083	F4JVF3
827083	Q93VF4
837741	A0A178WRH5
837741	O65389
57650	Q8TCG1
837740	A0A178WAW2
837740	A0A1P8AV08
837740	O65390
57654	Q2YD98
57654	Q69YU2
57655	B3KQF7
57655	B3KUH3
57655	M0QZ12
57655	Q96CP6
843038	A0A178W4T1
843038	A0A1P8ASR2
843038	A0A1P8ASR3
843038	A0A1P8ASS5
843038	Q9ZW89
57657	Q9P1Z3
824121	F4IXZ6
824121	Q9SCK0
423463	P11501
54135	Q99KG5
100335135	Q4VQ79
100134834	Q52KE0
2541797	Q09773
64547	O88498
186392	A0A0K3ASL6
186392	A0A0K3AXY1
186392	D6VPA1
153443	Q8NEF9
222696	Q3MJ62
222698	Q5M9Q1
330953	B2RY58
53883	A2AEE7
53885	A2APS1
53885	Q3TWM5
53885	Q9QY53
668212	Q6ZQ18
330959	E9QPK5
330959	Q8R2K7
117166	Q96NZ8
35674	Q7K3Z3
5450	Q16633
50050	Q9VDG1
105193	Q0VF71
105193	Q8BR37
1193	O15247
25577	P68255
184258	P90825
2712	A0A140VKG0
2712	Q14410
4321	P39900
2710	B4DH54
2710	P32189
5453	Q03052
199745	B4DKM9
199745	H9CWI5
199745	Q8NA92
